Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-07-30T11:03:28.552Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-07-30T10:39:29.666Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-30T10:20:46.307Z,50.96,PLN,50.96,PLN,50.96,PLN
order,2025-07-30T08:50:03.114Z,73.58,PLN,73.58,PLN,73.58,PLN
order,2025-07-30T08:21:11.666Z,31.99,PLN,31.99,PLN,31.99,PLN
order,2025-07-30T06:21:42.201Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-30T05:55:33.879Z,56.83,PLN,56.83,PLN,56.83,PLN
order,2025-07-30T00:17:01.942Z,58.02,PLN,58.02,PLN,58.02,PLN
order,2025-07-29T23:07:15.220Z,91.95,PLN,91.95,PLN,91.95,PLN
order,2025-07-29T19:53:07.549Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-07-29T19:52:59.799Z,55.37,PLN,55.37,PLN,55.37,PLN
order,2025-07-29T14:48:23.380Z,53.87,PLN,53.87,PLN,53.87,PLN
order,2025-07-29T11:27:34.563Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-29T09:00:32.721Z,82.94,PLN,82.94,PLN,82.94,PLN
order,2025-07-29T07:58:01.050Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-29T06:38:40.265Z,54.62,PLN,54.62,PLN,54.62,PLN
order,2025-07-28T21:01:18.020Z,53.89,PLN,53.89,PLN,53.89,PLN
order,2025-07-28T20:06:49.192Z,24.33,PLN,24.33,PLN,24.33,PLN
order,2025-07-28T16:29:12.948Z,40.66,PLN,40.66,PLN,40.66,PLN
order,2025-07-28T11:15:17.592Z,56.47,PLN,56.47,PLN,56.47,PLN
order,2025-07-28T10:44:55.188Z,65.63,PLN,65.63,PLN,65.63,PLN
order,2025-07-28T10:32:57.371Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-07-28T09:43:10.483Z,53.69,PLN,53.69,PLN,53.69,PLN
order,2025-07-28T08:03:44.091Z,49.56,PLN,49.56,PLN,49.56,PLN
order,2025-07-28T06:47:14.250Z,78.18,PLN,78.18,PLN,78.18,PLN
order,2025-07-28T05:52:24.997Z,51.87,PLN,51.87,PLN,51.87,PLN
order,2025-07-28T05:50:40.242Z,59.85,PLN,59.85,PLN,59.85,PLN
order,2025-07-27T22:18:20.906Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-07-27T21:26:11.647Z,36.67,PLN,36.67,PLN,36.67,PLN
order,2025-07-27T19:28:49.833Z,67.46,PLN,67.46,PLN,67.46,PLN
order,2025-07-27T17:57:14.534Z,35.78,PLN,35.78,PLN,35.78,PLN
order,2025-07-27T16:33:48.601Z,259.01,PLN,259.01,PLN,259.01,PLN
order,2025-07-27T16:16:59.471Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-27T15:32:39.127Z,57.75,PLN,57.75,PLN,57.75,PLN
order,2025-07-27T10:47:10.653Z,69.39,PLN,69.39,PLN,69.39,PLN
order,2025-07-27T06:54:48.260Z,51.39,PLN,51.39,PLN,51.39,PLN
order,2025-07-26T13:02:49.877Z,95.46,PLN,95.46,PLN,95.46,PLN
order,2025-07-26T12:32:04.820Z,54.84,PLN,54.84,PLN,54.84,PLN
order,2025-07-26T11:35:26.290Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-26T05:13:13.395Z,50.62,PLN,50.62,PLN,50.62,PLN
order,2025-07-25T15:44:01.427Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-25T10:37:48.756Z,25.49,PLN,25.49,PLN,25.49,PLN
order,2025-07-25T10:11:02.195Z,54.84,PLN,54.84,PLN,54.84,PLN
order,2025-07-25T09:05:10.281Z,60.57,PLN,60.57,PLN,60.57,PLN
order,2025-07-25T07:42:45.936Z,117.05,PLN,117.05,PLN,117.05,PLN
order,2025-07-25T05:36:59.720Z,50.38,PLN,50.38,PLN,50.38,PLN
order,2025-07-24T20:26:48.178Z,60.94,PLN,60.94,PLN,60.94,PLN
order,2025-07-24T15:47:44.319Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-24T12:23:36.016Z,54.75,PLN,54.75,PLN,54.75,PLN
order,2025-07-24T11:54:21.488Z,56.70,PLN,56.70,PLN,56.70,PLN
order,2025-07-24T11:49:17.927Z,49.97,PLN,49.97,PLN,49.97,PLN
order,2025-07-24T11:29:03.925Z,23.83,PLN,23.83,PLN,23.83,PLN
order,2025-07-24T10:00:04.449Z,47.84,PLN,47.84,PLN,47.84,PLN
order,2025-07-23T21:10:49.684Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-07-23T20:17:36.345Z,37.17,PLN,37.17,PLN,37.17,PLN
order,2025-07-23T20:08:57.931Z,60.14,PLN,60.14,PLN,60.14,PLN
order,2025-07-23T15:50:11.750Z,54.48,PLN,54.48,PLN,54.48,PLN
order,2025-07-23T15:31:06.761Z,51.91,PLN,51.91,PLN,51.91,PLN
order,2025-07-23T14:02:31.800Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-23T13:18:17.902Z,53.59,PLN,53.59,PLN,53.59,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,abb9e8a2-6d34-11f0-965b-bdd341da8a0a,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,abb9e8a1-6d34-11f0-965b-bdd341da8a0a,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,abb9e8a0-6d34-11f0-965b-bdd341da8a0a,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,6bcbaa61-6d31-11f0-a5d4-d104b0536c06,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,6bcbaa60-6d31-11f0-a5d4-d104b0536c06,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,bc4cd340-6d2e-11f0-965b-bdd341da8a0a,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,bc4cd341-6d2e-11f0-965b-bdd341da8a0a,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",3,12.49,PLN,,
lineItem,03c31e80-6d22-11f0-9d52-619efb4c8ad9,16804364795,"Krem przeciwstarzeniowy do twarzy 50ml Equilibra Vitaminica",1,47.99,PLN,,
lineItem,03c31e81-6d22-11f0-9d52-619efb4c8ad9,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,25.59,PLN,,
lineItem,0868d5a0-6d1e-11f0-8252-4504d4281861,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
lineItem,6a2b2420-6d0d-11f0-ab62-f56f31dadfa9,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,bf81e660-6d09-11f0-ab62-f56f31dadfa9,17391096073,"Aloesowy balsam do ust w sztyfcie 5,5 ml",1,13.49,PLN,,
lineItem,bf81e661-6d09-11f0-ab62-f56f31dadfa9,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,bf81e662-6d09-11f0-ab62-f56f31dadfa9,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,bf81e666-6d09-11f0-ab62-f56f31dadfa9,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,7bfbb852-6cda-11f0-a174-01e87e763ba8,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,7bfbb851-6cda-11f0-a174-01e87e763ba8,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,14.85,PLN,,
lineItem,7bfbb850-6cda-11f0-a174-01e87e763ba8,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,be473360-6cd0-11f0-9d52-619efb4c8ad9,15574362870,"Aloesowy dezodorant w kulce z kwasem hialuronowym 50 ml Equilibra",5,18.39,PLN,,
lineItem,8651bef2-6cb5-11f0-8bd6-733023cbf73e,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,8651bef1-6cb5-11f0-8bd6-733023cbf73e,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,8651bef0-6cb5-11f0-8bd6-733023cbf73e,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,8e300f00-6cb5-11f0-95da-170c6561c196,17389118114,"Equilibra aloesowy krem nawilżający do twarzy 75 ml",1,29.69,PLN,,
lineItem,8e300f01-6cb5-11f0-95da-170c6561c196,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,01e84aa0-6c8b-11f0-a0a9-a9ec20b55713,15574925122,"Mydło aloesowe 100 g Equilibra 100% roślinne.",1,11.69,PLN,,
lineItem,01e84aa1-6c8b-11f0-a0a9-a9ec20b55713,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,01e84aa2-6c8b-11f0-a0a9-a9ec20b55713,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,e2629801-6c6e-11f0-bcf7-21b80d1f7949,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,e2629800-6c6e-11f0-bcf7-21b80d1f7949,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,2cdb6e83-6c5a-11f0-84d1-31e81a8db5e0,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,2cdb6e82-6c5a-11f0-84d1-31e81a8db5e0,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,19.87,PLN,,
lineItem,2cdb6e80-6c5a-11f0-84d1-31e81a8db5e0,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,2cdb6e81-6c5a-11f0-84d1-31e81a8db5e0,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,7195aa30-6c51-11f0-ab62-f56f31dadfa9,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,97789ce9-6c46-11f0-a7ca-cb9ee7bc3f90,17213901552,"Equilibra oczyszczający żel do mycia twarzy z aktywnym węglem 200ml",1,24.29,PLN,,
