Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-07-15T23:00:35.985Z,72.26,PLN,72.26,PLN,72.26,PLN
order,2025-07-15T20:54:30.845Z,121.06,PLN,121.06,PLN,121.06,PLN
order,2025-07-15T20:02:29.485Z,45.00,PLN,45.00,PLN,45.00,PLN
order,2025-07-15T17:54:48.601Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-15T11:46:47.146Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-15T10:55:35.386Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-15T09:54:57.551Z,84.00,PLN,84.00,PLN,0.00,PLN
order,2025-07-15T09:36:19.981Z,61.59,PLN,61.59,PLN,61.59,PLN
order,2025-07-15T08:32:52.679Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-15T08:12:34.239Z,76.77,PLN,76.77,PLN,76.77,PLN
order,2025-07-15T08:05:34.598Z,50.54,PLN,50.54,PLN,50.54,PLN
order,2025-07-15T06:23:50.494Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-15T05:29:19.611Z,23.83,PLN,23.83,PLN,23.83,PLN
order,2025-07-14T20:40:44.175Z,57.78,PLN,57.78,PLN,57.78,PLN
order,2025-07-14T19:46:37.486Z,50.98,PLN,50.98,PLN,50.98,PLN
order,2025-07-14T19:01:52.317Z,54.38,PLN,54.38,PLN,54.38,PLN
order,2025-07-14T18:32:11.715Z,95.49,PLN,95.49,PLN,95.49,PLN
order,2025-07-14T17:38:27.245Z,59.98,PLN,59.98,PLN,0.00,PLN
order,2025-07-14T16:23:10.481Z,55.49,PLN,55.49,PLN,55.49,PLN
order,2025-07-14T15:38:06.254Z,123.68,PLN,123.68,PLN,123.68,PLN
order,2025-07-14T12:51:44.907Z,46.97,PLN,46.97,PLN,46.97,PLN
order,2025-07-14T12:38:15.387Z,47.38,PLN,47.38,PLN,47.38,PLN
order,2025-07-14T08:49:45.297Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-14T08:20:59.010Z,50.93,PLN,50.93,PLN,50.93,PLN
order,2025-07-14T08:19:09.815Z,54.96,PLN,54.96,PLN,54.96,PLN
order,2025-07-14T08:15:05.257Z,77.07,PLN,77.07,PLN,77.07,PLN
order,2025-07-14T08:08:45.563Z,39.49,PLN,39.49,PLN,39.49,PLN
order,2025-07-14T07:38:44.217Z,56.68,PLN,56.68,PLN,56.68,PLN
order,2025-07-14T06:28:16.682Z,49.67,PLN,49.67,PLN,49.67,PLN
order,2025-07-14T06:17:09.012Z,61.04,PLN,61.04,PLN,61.04,PLN
order,2025-07-14T06:02:27.474Z,84.00,PLN,84.00,PLN,84.00,PLN
order,2025-07-14T05:38:22.616Z,49.78,PLN,49.78,PLN,49.78,PLN
order,2025-07-13T20:50:03.556Z,53.68,PLN,53.68,PLN,53.68,PLN
order,2025-07-13T19:24:55.987Z,45.71,PLN,45.71,PLN,45.71,PLN
order,2025-07-13T17:34:15.950Z,62.02,PLN,62.02,PLN,62.02,PLN
order,2025-07-13T16:46:48.528Z,45.08,PLN,45.08,PLN,45.08,PLN
order,2025-07-13T11:23:09.618Z,55.42,PLN,55.42,PLN,55.42,PLN
order,2025-07-13T11:06:13.888Z,24.33,PLN,24.33,PLN,24.33,PLN
order,2025-07-13T10:34:06.976Z,53.65,PLN,53.65,PLN,53.65,PLN
order,2025-07-13T07:01:12.228Z,61.26,PLN,61.26,PLN,61.26,PLN
order,2025-07-12T21:22:06.231Z,56.07,PLN,56.07,PLN,56.07,PLN
order,2025-07-12T21:10:28.495Z,50.92,PLN,50.92,PLN,50.92,PLN
order,2025-07-12T17:21:25.402Z,76.38,PLN,76.38,PLN,76.38,PLN
order,2025-07-12T15:53:11.865Z,30.67,PLN,30.67,PLN,30.67,PLN
order,2025-07-12T13:27:15.076Z,23.83,PLN,23.83,PLN,23.83,PLN
order,2025-07-12T08:58:54.753Z,53.79,PLN,53.79,PLN,53.79,PLN
order,2025-07-12T08:40:26.333Z,58.55,PLN,58.55,PLN,58.55,PLN
order,2025-07-12T06:09:24.570Z,72.48,PLN,72.48,PLN,72.48,PLN
order,2025-07-11T18:29:35.666Z,51.40,PLN,51.40,PLN,51.40,PLN
order,2025-07-11T14:13:27.178Z,28.57,PLN,28.57,PLN,28.57,PLN
order,2025-07-11T11:33:45.305Z,93.97,PLN,93.97,PLN,93.97,PLN
order,2025-07-11T10:52:34.849Z,62.22,PLN,62.22,PLN,62.22,PLN
order,2025-07-11T08:25:53.343Z,51.03,PLN,51.03,PLN,51.03,PLN
order,2025-07-11T06:58:42.817Z,45.89,PLN,45.89,PLN,45.89,PLN
order,2025-07-10T20:59:57.879Z,62.19,PLN,62.19,PLN,62.19,PLN
order,2025-07-10T20:18:17.979Z,114.71,PLN,114.71,PLN,114.71,PLN
order,2025-07-10T20:00:02.833Z,54.04,PLN,54.04,PLN,54.04,PLN
order,2025-07-10T19:02:27.981Z,59.64,PLN,59.64,PLN,59.64,PLN
order,2025-07-10T18:21:44.496Z,49.79,PLN,49.79,PLN,49.79,PLN
order,2025-07-10T17:49:03.328Z,48.02,PLN,48.02,PLN,48.02,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,3eb1a740-61cf-11f0-ac88-534165ba7a16,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,20.99,PLN,,
lineItem,3eb1a742-61cf-11f0-ac88-534165ba7a16,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,3eb1a741-61cf-11f0-ac88-534165ba7a16,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,25.59,PLN,,
lineItem,bd4786e4-61bd-11f0-beae-ab2b84759fcb,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,bd4786e3-61bd-11f0-beae-ab2b84759fcb,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,bd4786e2-61bd-11f0-beae-ab2b84759fcb,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,14.85,PLN,,
lineItem,bd4786e1-61bd-11f0-beae-ab2b84759fcb,16968904906,"Equilibra szampon oczyszczający z AKTYWNYM WĘGLEM 265ml",1,17.35,PLN,,
lineItem,bd4786e0-61bd-11f0-beae-ab2b84759fcb,17215229512,"Odżywka do włosów RESTRUKTURYZUJĄCA Equilibra Tricologica 200 ml",2,23.99,PLN,,
lineItem,94be3181-61b6-11f0-962a-017bda182b6c,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,94be3180-61b6-11f0-962a-017bda182b6c,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
lineItem,ad6fc702-61a4-11f0-8106-413c14eece1b,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,ad6fc700-61a4-11f0-8106-413c14eece1b,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,385022e0-6171-11f0-aea9-0bc975d4f8c5,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,30b71d60-616a-11f0-90b8-abb6e061c4ba,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,9174fa90-6161-11f0-962a-017bda182b6c,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",6,14.00,PLN,,
lineItem,eb997c10-615e-11f0-9131-9b9d0df0661b,16855109965,"Zestaw różany do twarzy z kwasem hialuronowym przeciwstarzeniowy Equilibra",1,61.59,PLN,,
lineItem,40a62f40-6156-11f0-bd07-770881638437,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,573227d0-6153-11f0-9756-cd9fae62140b,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",3,25.59,PLN,,
lineItem,75ca2540-6152-11f0-a966-736fc1f5c6c5,15574362473,"Arganowy żel do kąpieli 400 ml",1,19.71,PLN,,
lineItem,75ca2541-6152-11f0-a966-736fc1f5c6c5,17389102044,"Equilibra Odżywczy Krem do rąk z masłem Shea",1,17.99,PLN,,
lineItem,75ca2542-6152-11f0-a966-736fc1f5c6c5,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,399a4f91-6144-11f0-8106-413c14eece1b,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,399a4f90-6144-11f0-8106-413c14eece1b,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,a5b303f1-613c-11f0-9131-9b9d0df0661b,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,49614931-60f2-11f0-b0b3-35d426a14a29,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,49614932-60f2-11f0-b0b3-35d426a14a29,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
lineItem,49614930-60f2-11f0-b0b3-35d426a14a29,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",1,12.78,PLN,,
lineItem,21631cd0-60eb-11f0-a8b4-93c8769affc0,16968904906,"Equilibra szampon oczyszczający z AKTYWNYM WĘGLEM 265ml",1,17.35,PLN,,
lineItem,21631cd2-60eb-11f0-a8b4-93c8769affc0,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,21631cd1-60eb-11f0-a8b4-93c8769affc0,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,20.79,PLN,,
lineItem,fb265a11-60e4-11f0-9bd9-c94960fb9a40,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
