Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
lineItem,3c2813f1-20f2-11f1-860a-27cff393b921,,1,9.65,PLN,23.00,,,,
lineItem,3c2813f0-20f2-11f1-860a-27cff393b921,,1,12.00,PLN,23.00,GOODS,,,
lineItem,3c2813f2-20f2-11f1-860a-27cff393b921,"SHRO",1,16.13,PLN,,,,,
lineItem,49a709a0-20b1-11f1-8546-45eb4af6fba9,,1,7.99,PLN,,,,,
lineItem,49a709a4-20b1-11f1-8546-45eb4af6fba9,,1,13.49,PLN,23.00,,,,
lineItem,49a709a2-20b1-11f1-8546-45eb4af6fba9,"NCDAR",1,18.39,PLN,23.00,GOODS,,,
lineItem,49a709a1-20b1-11f1-8546-45eb4af6fba9,,1,16.79,PLN,,,,,
lineItem,49a709a3-20b1-11f1-8546-45eb4af6fba9,,1,17.99,PLN,23.00,GOODS,,,
lineItem,b65f1d32-20a7-11f1-b7da-7dd4c6b95d56,,1,9.65,PLN,23.00,,,,
lineItem,b65f1d31-20a7-11f1-b7da-7dd4c6b95d56,"CTSR6N",1,18.94,PLN,23.00,GOODS,,,
lineItem,b65f1d30-20a7-11f1-b7da-7dd4c6b95d56,"NCSRO",1,29.45,PLN,23.00,GOODS,,,
lineItem,c2f4c154-2087-11f1-979f-e9ecb3521c8c,"BSAL",2,23.39,PLN,23.00,GOODS,,,
lineItem,c2f4c153-2087-11f1-979f-e9ecb3521c8c,"BSAL",1,19.88,PLN,23.00,GOODS,,,
lineItem,c2f4c151-2087-11f1-979f-e9ecb3521c8c,,1,39.00,PLN,23.00,,,,
lineItem,c2f4c150-2087-11f1-979f-e9ecb3521c8c,,1,23.98,PLN,23.00,,,,
lineItem,744613b0-2078-11f1-959d-e91c1a61a33d,"CTSR6N",3,18.94,PLN,23.00,GOODS,,,
lineItem,077e4cb0-2056-11f1-b75d-e1dbece90e30,"SHRO",1,16.13,PLN,,,,,
lineItem,077e4cb1-2056-11f1-b75d-e1dbece90e30,"NCSRO",1,29.45,PLN,23.00,GOODS,,,
lineItem,585efb20-1fd9-11f1-ac04-4b59e1935fc3,,1,16.79,PLN,,,,,
lineItem,585efb21-1fd9-11f1-ac04-4b59e1935fc3,"CTSR6N",2,18.94,PLN,23.00,GOODS,,,
lineItem,585efb22-1fd9-11f1-ac04-4b59e1935fc3,"SHTE",1,17.03,PLN,23.00,GOODS,,,
lineItem,af3c2ec2-1fb3-11f1-a8bf-d7ebe63aa516,"BSAL",1,23.39,PLN,23.00,GOODS,,,
lineItem,af3c2ec1-1fb3-11f1-a8bf-d7ebe63aa516,"BSAL",1,19.87,PLN,23.00,GOODS,,,
lineItem,af3c2ec0-1fb3-11f1-a8bf-d7ebe63aa516,,2,17.99,PLN,23.00,GOODS,,,
lineItem,40f23590-1f86-11f1-adb5-7b7742cac59f,"SHRO",1,16.13,PLN,,,,,
lineItem,40f23591-1f86-11f1-adb5-7b7742cac59f,"NCSRO",1,29.45,PLN,23.00,GOODS,,,
lineItem,fc26d720-1f73-11f1-872e-65914c1dabcb,,1,23.98,PLN,23.00,,,,
lineItem,fc26d721-1f73-11f1-872e-65914c1dabcb,"CTSR6N",2,18.94,PLN,23.00,GOODS,,,
lineItem,867be5c0-1efa-11f1-a8bf-d7ebe63aa516,,1,20.00,PLN,23.00,,,,
lineItem,867be5c1-1efa-11f1-a8bf-d7ebe63aa516,,1,16.20,PLN,23.00,,,,
lineItem,867be5c2-1efa-11f1-a8bf-d7ebe63aa516,"NCDS",1,17.09,PLN,23.00,GOODS,,,
lineItem,c7ccf711-1ef7-11f1-a084-3136c7d7b73a,"NCDB",1,12.35,PLN,23.00,GOODS,,,
lineItem,c7ccf710-1ef7-11f1-a084-3136c7d7b73a,"NCDB",1,10.49,PLN,23.00,GOODS,,,
lineItem,ea654181-1ebe-11f1-9f5e-2b9136b8e537,"NCDAR",2,18.39,PLN,23.00,GOODS,,,
lineItem,ea654180-1ebe-11f1-9f5e-2b9136b8e537,,1,17.99,PLN,23.00,,,,
lineItem,ea654182-1ebe-11f1-9f5e-2b9136b8e537,,1,23.98,PLN,23.00,,,,
lineItem,bc3ab340-1e95-11f1-acdf-f989c020f79b,,2,39.00,PLN,23.00,,,,
lineItem,f3d205f2-1e5f-11f1-a723-212c5504c647,,1,17.99,PLN,23.00,GOODS,,,
lineItem,f3d205f1-1e5f-11f1-a723-212c5504c647,"CTSR6N",1,18.94,PLN,23.00,GOODS,,,
lineItem,f3d205f0-1e5f-11f1-a723-212c5504c647,,1,12.00,PLN,23.00,GOODS,,,
lineItem,f3d205f3-1e5f-11f1-a723-212c5504c647,"SHTE",1,17.03,PLN,23.00,GOODS,,,
lineItem,72549561-1e32-11f1-aac0-55b363c79d13,,1,23.98,PLN,23.00,,,,
lineItem,72549560-1e32-11f1-aac0-55b363c79d13,"CSC",1,8.55,PLN,23.00,GOODS,,,
