Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-07-01T05:27:32.849Z,58.79,PLN,58.79,PLN,58.79,PLN
order,2025-06-30T21:15:44.612Z,92.64,PLN,92.64,PLN,92.64,PLN
order,2025-06-30T20:37:33.686Z,70.49,PLN,70.49,PLN,70.49,PLN
order,2025-06-30T20:12:02.584Z,68.39,PLN,68.39,PLN,68.39,PLN
order,2025-06-30T20:02:20.697Z,97.97,PLN,97.97,PLN,97.97,PLN
order,2025-06-30T18:54:29.876Z,59.85,PLN,59.85,PLN,59.85,PLN
order,2025-06-30T18:29:18.988Z,88.44,PLN,88.44,PLN,88.44,PLN
order,2025-06-30T16:49:29.429Z,48.88,PLN,48.88,PLN,48.88,PLN
order,2025-06-30T14:17:42.285Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-06-30T10:02:08.961Z,64.67,PLN,64.67,PLN,64.67,PLN
order,2025-06-30T00:36:08.601Z,99.89,PLN,99.89,PLN,99.89,PLN
order,2025-06-29T21:39:38.361Z,68.94,PLN,68.94,PLN,68.94,PLN
order,2025-06-29T21:04:24.761Z,54.54,PLN,54.54,PLN,54.54,PLN
order,2025-06-29T20:47:41.944Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-06-29T13:07:48.825Z,76.28,PLN,76.28,PLN,76.28,PLN
order,2025-06-29T09:43:56.259Z,49.55,PLN,49.55,PLN,49.55,PLN
order,2025-06-29T09:14:35.762Z,51.19,PLN,51.19,PLN,51.19,PLN
order,2025-06-29T07:23:32.885Z,89.51,PLN,89.51,PLN,89.51,PLN
order,2025-06-28T22:06:28.227Z,67.77,PLN,67.77,PLN,67.77,PLN
order,2025-06-28T19:33:50.901Z,56.74,PLN,56.74,PLN,56.74,PLN
order,2025-06-28T19:16:18.459Z,60.36,PLN,60.36,PLN,60.36,PLN
order,2025-06-28T17:36:23.142Z,57.95,PLN,57.95,PLN,57.95,PLN
order,2025-06-28T14:26:42.069Z,55.79,PLN,55.79,PLN,55.79,PLN
order,2025-06-28T13:00:58.168Z,110.06,PLN,110.06,PLN,110.06,PLN
order,2025-06-28T12:44:40.306Z,51.79,PLN,51.79,PLN,51.79,PLN
order,2025-06-28T10:38:40.280Z,25.54,PLN,25.54,PLN,25.54,PLN
order,2025-06-28T10:08:18.779Z,48.11,PLN,48.11,PLN,48.11,PLN
order,2025-06-27T22:09:03.438Z,47.43,PLN,47.43,PLN,47.43,PLN
order,2025-06-27T21:45:37.119Z,55.16,PLN,55.16,PLN,55.16,PLN
order,2025-06-27T15:36:54.657Z,53.29,PLN,53.29,PLN,53.29,PLN
order,2025-06-27T11:26:58.041Z,40.09,PLN,40.09,PLN,40.09,PLN
order,2025-06-27T10:21:36.136Z,47.01,PLN,47.01,PLN,47.01,PLN
order,2025-06-27T07:40:42.967Z,69.42,PLN,69.42,PLN,69.42,PLN
order,2025-06-26T23:42:46.125Z,62.87,PLN,62.87,PLN,62.87,PLN
order,2025-06-26T15:33:26.510Z,62.37,PLN,62.37,PLN,62.37,PLN
order,2025-06-26T15:32:21.128Z,59.30,PLN,59.30,PLN,59.30,PLN
order,2025-06-26T13:10:55.257Z,51.60,PLN,51.60,PLN,51.60,PLN
order,2025-06-26T11:27:56.790Z,267.09,PLN,267.09,PLN,267.09,PLN
order,2025-06-26T11:25:33.982Z,54.03,PLN,54.03,PLN,54.03,PLN
order,2025-06-26T06:56:29.747Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-06-26T06:35:07.524Z,54.38,PLN,54.38,PLN,54.38,PLN
order,2025-06-26T05:56:17.276Z,56.06,PLN,56.06,PLN,56.06,PLN
order,2025-06-25T22:00:20.493Z,23.83,PLN,23.83,PLN,23.83,PLN
order,2025-06-25T21:33:22.258Z,23.83,PLN,23.83,PLN,23.83,PLN
order,2025-06-25T19:56:48.694Z,90.18,PLN,90.18,PLN,90.18,PLN
order,2025-06-25T18:57:48.765Z,108.33,PLN,108.33,PLN,108.33,PLN
order,2025-06-25T17:42:26.773Z,50.54,PLN,50.54,PLN,50.54,PLN
order,2025-06-25T16:23:04.806Z,49.72,PLN,49.72,PLN,49.72,PLN
order,2025-06-25T15:39:02.937Z,84.85,PLN,84.85,PLN,84.85,PLN
order,2025-06-25T14:08:56.306Z,102.62,PLN,102.62,PLN,102.62,PLN
order,2025-06-25T12:30:20.084Z,62.54,PLN,62.54,PLN,62.54,PLN
order,2025-06-25T11:30:26.989Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-25T10:58:49.357Z,48.98,PLN,48.98,PLN,48.98,PLN
order,2025-06-25T10:55:48.554Z,62.79,PLN,62.79,PLN,62.79,PLN
order,2025-06-25T09:36:57.774Z,28.49,PLN,28.49,PLN,28.49,PLN
order,2025-06-25T08:27:37.058Z,47.42,PLN,47.42,PLN,47.42,PLN
order,2025-06-25T07:15:59.808Z,24.33,PLN,24.33,PLN,24.33,PLN
order,2025-06-25T07:07:49.061Z,49.67,PLN,49.67,PLN,49.67,PLN
order,2025-06-24T19:42:26.992Z,68.42,PLN,68.42,PLN,68.42,PLN
order,2025-06-24T18:33:31.436Z,54.90,PLN,54.90,PLN,54.90,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,8bc81451-563b-11f0-a710-57adf2ddf10e,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,13.90,PLN,,
lineItem,8bc81450-563b-11f0-a710-57adf2ddf10e,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",1,17.09,PLN,,
lineItem,5904df62-55f7-11f0-83de-2d608a349bb6,17290688385,"Equilibra RESTRUKTURYZUJĄCA MASKA do włosów 250ml",1,38.69,PLN,,
lineItem,5904df63-55f7-11f0-83de-2d608a349bb6,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,17.12,PLN,,
lineItem,5904df60-55f7-11f0-83de-2d608a349bb6,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,5904df61-55f7-11f0-83de-2d608a349bb6,17215229512,"Odżywka do włosów RESTRUKTURYZUJĄCA Equilibra Tricologica 200 ml",1,23.99,PLN,,
lineItem,e3b93350-55f1-11f0-8ab8-8376d95d25f9,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,13.90,PLN,,
lineItem,e3b93351-55f1-11f0-8ab8-8376d95d25f9,17391180338,"Dermo-żel Equilibra z kwasem hialuronowym 150 ml",1,28.79,PLN,,
lineItem,2dbca301-55ee-11f0-8115-b1a3f57e437f,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,13.90,PLN,,
lineItem,2dbca303-55ee-11f0-8115-b1a3f57e437f,15574925122,"Mydło aloesowe 100 g Equilibra 100% roślinne.",1,11.69,PLN,,
lineItem,2dbca300-55ee-11f0-8115-b1a3f57e437f,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,17.12,PLN,,
lineItem,2dbca302-55ee-11f0-8115-b1a3f57e437f,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,175aeb91-55ed-11f0-a78f-3333a4f3ecba,17434586372,"Equilibra Aloe krem przeciwsłoneczny SPF50 75 ml",1,27.99,PLN,,
lineItem,175aeb90-55ed-11f0-a78f-3333a4f3ecba,17431593926,"Equilibra SUN Zestaw krem p/z do twarzy SPF 50 i Olejek ochronny do włosów",1,34.99,PLN,,
lineItem,175aeb92-55ed-11f0-a78f-3333a4f3ecba,16081319443,"Mleczko do opalania do całego ciała 30 SPF 150 ml Equilibra",1,34.99,PLN,,
lineItem,8dff2092-55e3-11f0-a497-93e5670c8db2,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",2,16.50,PLN,,
lineItem,8dff2091-55e3-11f0-a497-93e5670c8db2,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.01,PLN,,
lineItem,8dff2090-55e3-11f0-a497-93e5670c8db2,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,fad6e264-55df-11f0-8e0a-9d33bf715b6d,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,fad6e263-55df-11f0-8e0a-9d33bf715b6d,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,fad6e262-55df-11f0-8e0a-9d33bf715b6d,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,fad6e261-55df-11f0-8e0a-9d33bf715b6d,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,20.79,PLN,,
lineItem,fad6e260-55df-11f0-8e0a-9d33bf715b6d,15574362250,"Różana woda micelarna 400ml Equilibra",1,24.29,PLN,,
lineItem,19e3d4a2-55d2-11f0-beaf-2dc06a0115e5,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,13.90,PLN,,
lineItem,19e3d4a1-55d2-11f0-beaf-2dc06a0115e5,15574823728,"Aloesowy żel do kąpieli 400 ml Equilibra",1,21.99,PLN,,
lineItem,19e3d4a0-55d2-11f0-beaf-2dc06a0115e5,15574925173,"Mydło nagietkowe 100g Equilibra",1,12.99,PLN,,
lineItem,ee26faf2-55bc-11f0-9eed-110ff3d3d4d8,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,ee26faf1-55bc-11f0-9eed-110ff3d3d4d8,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,ee26faf0-55bc-11f0-9eed-110ff3d3d4d8,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,45c48670-5599-11f0-af16-0fdba494b0d6,15574823728,"Aloesowy żel do kąpieli 400 ml Equilibra",2,21.99,PLN,,
lineItem,45c48671-5599-11f0-af16-0fdba494b0d6,15574362388,"Odświeżający żel do higieny intymnej 200ml Equilibra",1,20.69,PLN,,
lineItem,1b3b0904-554a-11f0-aef9-f55b1e2a1031,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
