Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-10-02T08:28:52.797Z,109.36,PLN,109.36,PLN,109.36,PLN
order,2025-10-02T08:14:19.082Z,57.93,PLN,57.93,PLN,57.93,PLN
order,2025-10-01T20:47:10.739Z,49.24,PLN,49.24,PLN,49.24,PLN
order,2025-10-01T20:43:29.947Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-01T14:30:58.186Z,50.99,PLN,50.99,PLN,50.99,PLN
order,2025-10-01T12:34:39.193Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-01T12:30:20.351Z,97.02,PLN,97.02,PLN,97.02,PLN
order,2025-10-01T10:03:08.499Z,35.49,PLN,35.49,PLN,35.49,PLN
order,2025-10-01T09:27:54.101Z,23.49,PLN,23.49,PLN,23.49,PLN
order,2025-10-01T08:54:42.039Z,57.10,PLN,57.10,PLN,57.10,PLN
order,2025-10-01T08:34:58.217Z,34.98,PLN,34.98,PLN,34.98,PLN
order,2025-10-01T05:55:04.544Z,53.01,PLN,53.01,PLN,53.01,PLN
order,2025-09-30T20:35:56.709Z,54.67,PLN,54.67,PLN,54.67,PLN
order,2025-09-30T20:01:34.482Z,46.58,PLN,46.58,PLN,46.58,PLN
order,2025-09-30T19:40:24.333Z,69.08,PLN,69.08,PLN,69.08,PLN
order,2025-09-30T19:27:48.865Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-09-30T18:32:39.417Z,99.95,PLN,99.95,PLN,99.95,PLN
order,2025-09-30T18:11:16.707Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-30T18:08:39.441Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-30T13:44:18.833Z,107.23,PLN,107.23,PLN,107.23,PLN
order,2025-09-30T10:52:17.553Z,55.67,PLN,55.67,PLN,55.67,PLN
order,2025-09-30T10:24:09.981Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-30T09:53:18.499Z,33.31,PLN,33.31,PLN,33.31,PLN
order,2025-09-30T06:11:50.953Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-29T23:08:21.558Z,106.10,PLN,106.10,PLN,106.10,PLN
order,2025-09-29T22:36:05.120Z,53.16,PLN,53.16,PLN,53.16,PLN
order,2025-09-29T18:13:59.969Z,94.09,PLN,94.09,PLN,94.09,PLN
order,2025-09-29T15:13:59.989Z,49.83,PLN,49.83,PLN,49.83,PLN
order,2025-09-29T12:29:02.664Z,53.96,PLN,53.96,PLN,53.96,PLN
order,2025-09-29T11:47:54.302Z,56.08,PLN,56.08,PLN,56.08,PLN
order,2025-09-29T09:53:37.422Z,25.65,PLN,25.65,PLN,25.65,PLN
order,2025-09-29T08:29:33.397Z,60.97,PLN,60.97,PLN,60.97,PLN
order,2025-09-29T07:11:23.883Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-28T22:47:53.451Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-28T20:47:10.716Z,45.40,PLN,45.40,PLN,45.40,PLN
order,2025-09-28T20:04:56.594Z,61.98,PLN,61.98,PLN,61.98,PLN
order,2025-09-28T19:47:29.345Z,47.43,PLN,47.43,PLN,47.43,PLN
order,2025-09-28T19:12:14.921Z,64.77,PLN,64.77,PLN,64.77,PLN
order,2025-09-28T17:29:02.513Z,117.58,PLN,117.58,PLN,117.58,PLN
order,2025-09-28T17:21:31.295Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-28T14:22:12.333Z,25.15,PLN,25.15,PLN,25.15,PLN
order,2025-09-28T12:40:16.864Z,60.70,PLN,60.70,PLN,60.70,PLN
order,2025-09-28T11:43:52.823Z,45.99,PLN,45.99,PLN,45.99,PLN
order,2025-09-28T11:11:38.915Z,103.57,PLN,103.57,PLN,103.57,PLN
order,2025-09-28T09:54:39.228Z,91.17,PLN,91.17,PLN,91.17,PLN
order,2025-09-28T09:03:50.524Z,35.37,PLN,35.37,PLN,35.37,PLN
order,2025-09-28T08:58:18.567Z,49.59,PLN,49.59,PLN,49.59,PLN
order,2025-09-28T08:18:32.855Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-27T13:47:30.447Z,49.49,PLN,49.49,PLN,49.49,PLN
order,2025-09-27T11:23:13.102Z,57.39,PLN,57.39,PLN,57.39,PLN
order,2025-09-27T07:49:21.764Z,54.74,PLN,54.74,PLN,54.74,PLN
order,2025-09-27T07:35:18.808Z,76.77,PLN,76.77,PLN,76.77,PLN
order,2025-09-27T06:27:00.351Z,53.78,PLN,53.78,PLN,53.78,PLN
order,2025-09-27T06:15:02.914Z,49.46,PLN,49.46,PLN,49.46,PLN
order,2025-09-26T23:20:50.120Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-26T21:01:20.964Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-26T19:59:05.226Z,66.77,PLN,66.77,PLN,66.77,PLN
order,2025-09-26T18:53:09.882Z,56.64,PLN,56.64,PLN,56.64,PLN
order,2025-09-26T16:29:19.919Z,25.15,PLN,25.15,PLN,25.15,PLN
order,2025-09-26T14:39:12.934Z,53.74,PLN,53.74,PLN,53.74,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,cbd67f63-9f69-11f0-9468-2bd22967b382,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,cbd67f60-9f69-11f0-9468-2bd22967b382,17914003208,"Aloesowy krem do rąk i paznokci 75 ml",1,17.99,PLN,,
lineItem,cbd67f62-9f69-11f0-9468-2bd22967b382,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
lineItem,cbd67f61-9f69-11f0-9468-2bd22967b382,16084077562,"Baby łagodny krem ochronny do twarzy i ciała 100 ml Equilibra od 1 dnia",1,11.98,PLN,,
lineItem,cbd67f64-9f69-11f0-9468-2bd22967b382,16101568108,"Różany balsam do ust z kwasem hialuronowym Equilibra",1,14.39,PLN,,
lineItem,13300f51-9f67-11f0-8c53-b9e6d89e658e,15574362388,"Odświeżający żel do higieny intymnej 200ml Equilibra",3,19.31,PLN,,
lineItem,4d8fc2e2-9f07-11f0-8e98-fdfd51e10ba4,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,4d8fc2e1-9f07-11f0-8e98-fdfd51e10ba4,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,14.86,PLN,,
lineItem,3bfa6b20-9f07-11f0-8403-61170d295c6a,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,3cd4ea42-9ed3-11f0-b988-01714b283d25,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,3cd4ea41-9ed3-11f0-b988-01714b283d25,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,3cd4ea40-9ed3-11f0-b988-01714b283d25,17914048609,"Arganowa przeciwstarzeniowa maseczka do twarzy 2x7,5 ml Equilibra",1,7.99,PLN,,
lineItem,e6410430-9ec2-11f0-b871-03a75625f948,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,4a5788a1-9ec2-11f0-96ea-bf4f56b08af2,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",3,17.49,PLN,,
lineItem,4a5788a0-9ec2-11f0-96ea-bf4f56b08af2,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",3,14.85,PLN,,
lineItem,c8da3d20-9eaa-11f0-9e10-59ae2eaec9de,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,12.00,PLN,,
lineItem,a952de00-9ea8-11f0-8fc5-3736e68905c7,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,12.00,PLN,,
lineItem,18c2a542-9ea4-11f0-a6cc-b3145592fdde,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,18c2a541-9ea4-11f0-a6cc-b3145592fdde,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,18c2a540-9ea4-11f0-a6cc-b3145592fdde,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,25.59,PLN,,
lineItem,6c8eb360-9ea1-11f0-8ace-e54796c9c1e2,17215229512,"Odżywka do włosów RESTRUKTURYZUJĄCA Equilibra Tricologica 200 ml",1,23.99,PLN,,
lineItem,107dad83-9e8b-11f0-817a-fb3753e68c2d,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,107dad82-9e8b-11f0-817a-fb3753e68c2d,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,107dad81-9e8b-11f0-817a-fb3753e68c2d,16805037738,"Delikatny żel pod prysznic 400ml",1,22.49,PLN,,
lineItem,04c74fd0-9e3d-11f0-a6cc-b3145592fdde,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,20.99,PLN,,
lineItem,04c74fd2-9e3d-11f0-a6cc-b3145592fdde,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,04c74fd1-9e3d-11f0-a6cc-b3145592fdde,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.19,PLN,,
lineItem,3208a572-9e38-11f0-a6cc-b3145592fdde,15574362870,"Aloesowy dezodorant w kulce z kwasem hialuronowym 50 ml Equilibra",1,18.39,PLN,,
lineItem,3208a570-9e38-11f0-a6cc-b3145592fdde,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,12.00,PLN,,
lineItem,3208a571-9e38-11f0-a6cc-b3145592fdde,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.19,PLN,,
