Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-11-04T10:09:42.864Z,59.99,PLN,59.99,PLN,59.99,PLN
order,2025-11-04T09:26:48.781Z,113.99,PLN,113.99,PLN,113.99,PLN
order,2025-11-04T08:00:24.085Z,58.79,PLN,58.79,PLN,58.79,PLN
order,2025-11-04T07:51:19.321Z,24.99,PLN,24.99,PLN,24.99,PLN
order,2025-11-04T05:14:36.928Z,34.99,PLN,34.99,PLN,34.99,PLN
order,2025-11-03T21:38:45.585Z,158.33,PLN,158.33,PLN,158.33,PLN
order,2025-11-03T20:13:08.517Z,48.97,PLN,48.97,PLN,48.97,PLN
order,2025-11-03T15:02:05.932Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-11-03T12:08:14.924Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-11-03T07:45:09.934Z,71.38,PLN,71.38,PLN,71.38,PLN
order,2025-11-02T21:00:00.943Z,59.39,PLN,59.39,PLN,59.39,PLN
order,2025-11-02T19:52:13.616Z,46.39,PLN,46.39,PLN,46.39,PLN
order,2025-11-02T19:10:22.971Z,45.99,PLN,45.99,PLN,45.99,PLN
order,2025-11-02T13:24:29.152Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-11-02T10:18:13.214Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-11-02T09:33:22.412Z,51.97,PLN,51.97,PLN,51.97,PLN
order,2025-11-01T19:08:06.509Z,47.49,PLN,47.49,PLN,47.49,PLN
order,2025-11-01T14:28:06.552Z,52.00,PLN,52.00,PLN,52.00,PLN
order,2025-11-01T07:43:48.770Z,86.97,PLN,86.97,PLN,86.97,PLN
order,2025-10-31T11:15:28.822Z,52.97,PLN,52.97,PLN,52.97,PLN
order,2025-10-31T08:35:37.052Z,47.69,PLN,47.69,PLN,47.69,PLN
order,2025-10-30T19:39:16.055Z,65.78,PLN,65.78,PLN,65.78,PLN
order,2025-10-30T16:05:54.986Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-30T15:37:04.999Z,34.99,PLN,34.99,PLN,34.99,PLN
order,2025-10-30T07:07:17.220Z,46.58,PLN,46.58,PLN,46.58,PLN
order,2025-10-29T22:24:26.686Z,50.00,PLN,50.00,PLN,50.00,PLN
order,2025-10-29T17:19:29.500Z,50.99,PLN,50.99,PLN,50.99,PLN
order,2025-10-29T13:49:49.764Z,57.78,PLN,57.78,PLN,57.78,PLN
order,2025-10-29T08:16:56.146Z,38.39,PLN,38.39,PLN,38.39,PLN
order,2025-10-29T08:01:14.531Z,50.22,PLN,50.22,PLN,50.22,PLN
order,2025-10-29T06:33:51.667Z,47.89,PLN,47.89,PLN,47.89,PLN
order,2025-10-28T22:03:59.502Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-10-28T20:49:09.725Z,54.26,PLN,54.26,PLN,54.26,PLN
order,2025-10-28T19:37:06.255Z,45.99,PLN,45.99,PLN,45.99,PLN
order,2025-10-28T19:04:28.999Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-28T17:33:36.048Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-28T14:40:53.087Z,47.89,PLN,47.89,PLN,47.89,PLN
order,2025-10-28T12:55:57.400Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-10-28T12:38:49.336Z,48.00,PLN,48.00,PLN,48.00,PLN
order,2025-10-28T11:15:10.517Z,49.49,PLN,49.49,PLN,13.49,PLN
order,2025-10-28T08:10:20.730Z,54.90,PLN,54.90,PLN,54.90,PLN
order,2025-10-28T07:49:32.191Z,48.69,PLN,48.69,PLN,48.69,PLN
order,2025-10-27T19:38:51.268Z,54.54,PLN,54.54,PLN,54.54,PLN
order,2025-10-27T15:49:10.162Z,47.84,PLN,47.84,PLN,47.84,PLN
order,2025-10-27T13:44:14.934Z,49.99,PLN,49.99,PLN,12.00,PLN
order,2025-10-27T12:23:45.661Z,50.29,PLN,50.29,PLN,50.29,PLN
order,2025-10-27T07:39:23.303Z,110.42,PLN,110.42,PLN,110.42,PLN
order,2025-10-27T06:41:39.913Z,47.69,PLN,47.69,PLN,47.69,PLN
order,2025-10-27T06:19:53.342Z,131.15,PLN,131.15,PLN,131.15,PLN
order,2025-10-26T20:19:15.290Z,23.49,PLN,23.49,PLN,23.49,PLN
order,2025-10-26T13:13:25.649Z,46.39,PLN,46.39,PLN,46.39,PLN
order,2025-10-26T11:03:02.858Z,149.27,PLN,149.27,PLN,149.27,PLN
order,2025-10-26T08:24:46.750Z,56.55,PLN,56.55,PLN,56.55,PLN
order,2025-10-25T13:38:54.966Z,38.39,PLN,38.39,PLN,38.39,PLN
order,2025-10-25T07:01:27.776Z,54.68,PLN,54.68,PLN,54.68,PLN
order,2025-10-25T06:26:26.664Z,47.49,PLN,47.49,PLN,47.49,PLN
order,2025-10-24T10:09:47.167Z,49.24,PLN,49.24,PLN,49.24,PLN
order,2025-10-24T09:59:36.604Z,45.28,PLN,45.28,PLN,45.28,PLN
order,2025-10-24T08:03:12.548Z,76.84,PLN,76.84,PLN,76.84,PLN
order,2025-10-24T06:01:28.223Z,43.83,PLN,43.83,PLN,43.83,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,530848e1-b966-11f0-848f-a91fe6b62b90,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.00,PLN,,
lineItem,530848e0-b966-11f0-848f-a91fe6b62b90,16804364795,"Krem przeciwstarzeniowy do twarzy 50ml Equilibra Vitaminica",1,47.99,PLN,,
lineItem,4a0d7400-b960-11f0-9cf7-ebe90945a902,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,14.00,PLN,,
lineItem,4a0d7401-b960-11f0-9cf7-ebe90945a902,16101712888,"EQUILIBRA RÓŻANY olejek do ciała, 150ml",1,55.79,PLN,,
lineItem,4a0d7402-b960-11f0-9cf7-ebe90945a902,16101363440,"Equilibra pasta do zębów multi-funkcyjna 75ml",1,16.20,PLN,,
lineItem,1f2a1b51-b954-11f0-a48b-3ba625c1b313,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,14.00,PLN,,
lineItem,1f2a1b50-b954-11f0-a48b-3ba625c1b313,16804957357,"Rozświetlająca woda micelarna 400ml Equilibra VITAMINICA",1,16.79,PLN,,
lineItem,06ed6253-b953-11f0-9a05-857d8e215844,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,0f566830-b93d-11f0-848f-a91fe6b62b90,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,12.00,PLN,,
lineItem,5112ab2e-b8fd-11f0-a35c-b1d096599739,15574362230,"Aloesowy oczyszczający żel micelarny ALOE 3+ 200 ml Equilibra",1,22.39,PLN,,
lineItem,5112ab21-b8fd-11f0-a35c-b1d096599739,17713034969,"EQUILIBRA Aloesowy Żel do kąpieli 400ml",5,21.99,PLN,,
lineItem,5112ab20-b8fd-11f0-a35c-b1d096599739,17914507151,"Equilibra Wzmacniający szampon rozmarynowy 265ml",1,25.99,PLN,,
lineItem,59189de0-b8f1-11f0-8321-5d0dc8bfd6f5,17913884997,"Aloesowa oczyszczająca maseczka do twarzy 2 x 7,5ml",1,7.99,PLN,,
lineItem,59189de2-b8f1-11f0-8321-5d0dc8bfd6f5,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
lineItem,59189de1-b8f1-11f0-8321-5d0dc8bfd6f5,16081821273,"Krem przeciwzmarszczkowy przeciwsłoneczny do twarzy 50 SPF 75 ml Equilibra",1,23.98,PLN,,
lineItem,f8d7b682-b8c5-11f0-a036-9f4dfcdb59f4,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",2,12.00,PLN,,
lineItem,f8d7b681-b8c5-11f0-a036-9f4dfcdb59f4,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",2,14.00,PLN,,
lineItem,b658a0c3-b8ad-11f0-b759-3173646dc7df,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,c72f3c32-b888-11f0-95b9-d5fcf5ec47ff,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",2,12.00,PLN,,
lineItem,c72f3c31-b888-11f0-95b9-d5fcf5ec47ff,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,c72f3c30-b888-11f0-95b9-d5fcf5ec47ff,17215229512,"Odżywka do włosów RESTRUKTURYZUJĄCA Equilibra Tricologica 200 ml",1,23.99,PLN,,
lineItem,de0e4951-b82e-11f0-a5cb-ff74d30757dc,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,12.00,PLN,,
lineItem,de0e4950-b82e-11f0-a5cb-ff74d30757dc,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,61fe4580-b825-11f0-aebe-f703137ddbb3,15574362870,"Aloesowy dezodorant w kulce z kwasem hialuronowym 50 ml Equilibra",1,18.39,PLN,,
lineItem,61fe4581-b825-11f0-aebe-f703137ddbb3,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,8b248a11-b81f-11f0-aebe-f703137ddbb3,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,8b248a10-b81f-11f0-aebe-f703137ddbb3,17389102044,"Equilibra Odżywczy Krem do rąk z masłem Shea",1,17.99,PLN,,
lineItem,156e9200-b7ef-11f0-bf36-f391d208ff49,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,0912a7e2-b7d5-11f0-9524-437c7638e86a,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,12.00,PLN,,
lineItem,da424ed1-b7ce-11f0-b759-3173646dc7df,17913884997,"Aloesowa oczyszczająca maseczka do twarzy 2 x 7,5ml",1,7.99,PLN,,
lineItem,da424ed2-b7ce-11f0-b759-3173646dc7df,15693635463,"Aloesowy krem do twarzy przeciwstarzeniowy Equilibra 50 ml",1,17.00,PLN,,
