Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-06-14T18:40:38.960Z,54.84,PLN,54.84,PLN,54.84,PLN
order,2025-06-14T17:59:35.484Z,48.18,PLN,48.18,PLN,48.18,PLN
order,2025-06-14T12:22:18.706Z,57.36,PLN,57.36,PLN,57.36,PLN
order,2025-06-14T11:48:15.811Z,75.84,PLN,75.84,PLN,75.84,PLN
order,2025-06-14T08:12:41.266Z,52.43,PLN,52.43,PLN,52.43,PLN
order,2025-06-13T21:22:39.024Z,62.94,PLN,62.94,PLN,62.94,PLN
order,2025-06-13T08:29:19.568Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-13T05:01:45.798Z,68.94,PLN,68.94,PLN,68.94,PLN
order,2025-06-12T20:23:15.931Z,51.36,PLN,51.36,PLN,51.36,PLN
order,2025-06-12T15:57:21.264Z,77.52,PLN,77.52,PLN,77.52,PLN
order,2025-06-12T12:51:55.034Z,80.90,PLN,80.90,PLN,80.90,PLN
order,2025-06-12T09:47:34.653Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-12T08:36:10.437Z,63.65,PLN,63.65,PLN,63.65,PLN
order,2025-06-12T08:10:55.323Z,89.97,PLN,89.97,PLN,89.97,PLN
order,2025-06-12T07:53:42.286Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-12T05:37:01.527Z,54.98,PLN,54.98,PLN,54.98,PLN
order,2025-06-11T20:05:03.738Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-11T19:50:15.415Z,184.03,PLN,184.03,PLN,184.03,PLN
order,2025-06-11T17:34:42.781Z,80.61,PLN,80.61,PLN,80.61,PLN
order,2025-06-11T16:06:43.965Z,65.99,PLN,65.99,PLN,65.99,PLN
order,2025-06-11T10:30:30.554Z,50.92,PLN,50.92,PLN,50.92,PLN
order,2025-06-11T10:10:10.378Z,45.49,PLN,45.49,PLN,45.49,PLN
order,2025-06-11T09:54:51.873Z,61.29,PLN,61.29,PLN,61.29,PLN
order,2025-06-11T08:36:43.830Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-11T07:17:25.110Z,49.38,PLN,49.38,PLN,49.38,PLN
order,2025-06-11T05:49:33.977Z,50.85,PLN,50.85,PLN,0.00,PLN
order,2025-06-10T21:13:34.766Z,63.99,PLN,63.99,PLN,63.99,PLN
order,2025-06-10T19:04:38.860Z,65.13,PLN,65.13,PLN,65.13,PLN
order,2025-06-10T17:43:25.296Z,74.05,PLN,74.05,PLN,74.05,PLN
order,2025-06-10T14:11:42.080Z,77.46,PLN,77.46,PLN,60.47,PLN
order,2025-06-10T13:38:10.893Z,50.98,PLN,50.98,PLN,50.98,PLN
order,2025-06-10T03:39:51.488Z,45.49,PLN,45.49,PLN,45.49,PLN
order,2025-06-09T23:00:10.578Z,97.86,PLN,97.86,PLN,97.86,PLN
order,2025-06-09T22:23:22.841Z,58.94,PLN,58.94,PLN,58.94,PLN
order,2025-06-09T22:16:03.881Z,114.03,PLN,114.03,PLN,114.03,PLN
order,2025-06-09T22:05:25.306Z,110.67,PLN,110.67,PLN,110.67,PLN
order,2025-06-09T19:38:01.610Z,68.67,PLN,68.67,PLN,68.67,PLN
order,2025-06-09T15:54:13.433Z,54.25,PLN,54.25,PLN,54.25,PLN
order,2025-06-09T14:56:05.054Z,51.47,PLN,51.47,PLN,51.47,PLN
order,2025-06-09T12:17:19.428Z,55.40,PLN,55.40,PLN,55.40,PLN
order,2025-06-09T10:23:30.528Z,68.79,PLN,68.79,PLN,68.79,PLN
order,2025-06-09T09:55:28.359Z,27.18,PLN,27.18,PLN,27.18,PLN
order,2025-06-09T08:53:37.819Z,38.99,PLN,38.99,PLN,38.99,PLN
order,2025-06-09T06:53:02.435Z,46.47,PLN,46.47,PLN,46.47,PLN
order,2025-06-08T21:13:01.036Z,47.01,PLN,47.01,PLN,47.01,PLN
order,2025-06-08T20:55:11.353Z,56.20,PLN,56.20,PLN,56.20,PLN
order,2025-06-08T19:57:04.547Z,49.99,PLN,49.99,PLN,49.99,PLN
order,2025-06-08T19:13:19.052Z,53.63,PLN,53.63,PLN,53.63,PLN
order,2025-06-08T18:28:06.952Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-06-08T18:17:36.152Z,39.49,PLN,39.49,PLN,39.49,PLN
order,2025-06-08T16:43:49.985Z,84.55,PLN,84.55,PLN,84.55,PLN
order,2025-06-08T16:23:02.013Z,37.19,PLN,37.19,PLN,37.19,PLN
order,2025-06-08T15:49:01.999Z,64.16,PLN,64.16,PLN,64.16,PLN
order,2025-06-08T15:20:30.957Z,61.83,PLN,61.83,PLN,61.83,PLN
order,2025-06-08T10:59:36.978Z,40.69,PLN,40.69,PLN,40.69,PLN
order,2025-06-08T10:57:53.008Z,51.36,PLN,51.36,PLN,51.36,PLN
order,2025-06-08T05:13:16.337Z,90.48,PLN,90.48,PLN,90.48,PLN
order,2025-06-07T20:34:06.283Z,66.58,PLN,66.58,PLN,66.58,PLN
order,2025-06-07T17:31:12.335Z,52.69,PLN,52.69,PLN,52.69,PLN
order,2025-06-07T11:49:44.871Z,56.00,PLN,56.00,PLN,56.00,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,087e62f1-494f-11f0-8d5a-93ef3a3c36cb,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",3,14.00,PLN,,
lineItem,087e62f0-494f-11f0-8d5a-93ef3a3c36cb,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,2e579f62-4949-11f0-99b8-09df18379662,16101067082,"Equilibra Ochronny olejek do włosów 100 ml spray",1,14.55,PLN,,
lineItem,2e579f61-4949-11f0-99b8-09df18379662,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,2e579f60-4949-11f0-99b8-09df18379662,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,20.79,PLN,,
lineItem,2c7b97c3-491a-11f0-a3d6-9545bef39bfe,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,2c7b97c2-491a-11f0-a3d6-9545bef39bfe,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,2c7b97c0-491a-11f0-a3d6-9545bef39bfe,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,2c7b97c1-491a-11f0-a3d6-9545bef39bfe,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,5f200442-4915-11f0-a733-a1ab276fa7c7,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",2,12.73,PLN,,
lineItem,5f200441-4915-11f0-a733-a1ab276fa7c7,16101363440,"Equilibra pasta do zębów multi-funkcyjna 75ml",1,16.20,PLN,,
lineItem,5f200440-4915-11f0-a733-a1ab276fa7c7,15574824015,"Pasta Sensitive do wrażliwych zębów i dziąseł - żel aloesowy 75 ml",1,17.09,PLN,,
lineItem,5f200443-4915-11f0-a733-a1ab276fa7c7,15574362340,"Różane chusteczki do demakijażu 25szt. Equilibra",1,17.09,PLN,,
lineItem,5532cd00-48f7-11f0-a3d6-9545bef39bfe,16855797119,"EQUILIBRA Zestaw Aloes Nawilżający szampon 265ml+Nawilżająca odżywka 200ml",1,34.94,PLN,,
lineItem,5532cd01-48f7-11f0-a3d6-9545bef39bfe,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,316fbd71-489c-11f0-a733-a1ab276fa7c7,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,316fbd70-489c-11f0-a733-a1ab276fa7c7,16855797119,"EQUILIBRA Zestaw Aloes Nawilżający szampon 265ml+Nawilżająca odżywka 200ml",1,34.94,PLN,,
lineItem,7b955660-4830-11f0-9854-bfd421ed488e,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,7ce92cc2-4813-11f0-ae85-bb2e99c0d0fd,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,7ce92cc1-4813-11f0-ae85-bb2e99c0d0fd,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,19.87,PLN,,
lineItem,7ce92cc0-4813-11f0-ae85-bb2e99c0d0fd,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,0a5262f0-47cb-11f0-8157-0762d5f14220,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",3,17.12,PLN,,
lineItem,d388cfe3-47a5-11f0-bb4f-0534d672fbad,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,d388cfe2-47a5-11f0-bb4f-0534d672fbad,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.49,PLN,,
lineItem,d388cfe1-47a5-11f0-bb4f-0534d672fbad,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,11.05,PLN,,
lineItem,d388cfe0-47a5-11f0-bb4f-0534d672fbad,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,25.59,PLN,,
lineItem,ee61f9f3-478b-11f0-bb4f-0534d672fbad,16855797119,"EQUILIBRA Zestaw Aloes Nawilżający szampon 265ml+Nawilżająca odżywka 200ml",1,35.99,PLN,,
lineItem,ee61f9f2-478b-11f0-bb4f-0534d672fbad,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.50,PLN,,
lineItem,ee61f9f1-478b-11f0-bb4f-0534d672fbad,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,14.02,PLN,,
lineItem,ee61f9f0-478b-11f0-bb4f-0534d672fbad,16101568108,"Różany balsam do ust z kwasem hialuronowym Equilibra",1,14.39,PLN,,
lineItem,403f9d00-4772-11f0-9e0e-bfbfaf7e3f0e,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
