Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2025-07-07T04:42:36.838Z,68.56,PLN,68.56,PLN,68.56,PLN
order,2025-07-06T20:15:20.285Z,81.67,PLN,81.67,PLN,81.67,PLN
order,2025-07-06T19:59:58.451Z,119.93,PLN,119.93,PLN,119.93,PLN
order,2025-07-06T19:54:32.551Z,59.61,PLN,59.61,PLN,59.61,PLN
order,2025-07-06T19:37:36.841Z,101.54,PLN,101.54,PLN,101.54,PLN
order,2025-07-06T17:25:12.352Z,39.98,PLN,39.98,PLN,39.98,PLN
order,2025-07-06T17:20:06.770Z,50.92,PLN,50.92,PLN,50.92,PLN
order,2025-07-06T16:59:07.062Z,52.29,PLN,52.29,PLN,52.29,PLN
order,2025-07-06T16:36:00.605Z,68.94,PLN,68.94,PLN,68.94,PLN
order,2025-07-06T16:26:25.120Z,39.49,PLN,39.49,PLN,39.49,PLN
order,2025-07-06T16:23:19.578Z,54.28,PLN,54.28,PLN,54.28,PLN
order,2025-07-06T15:52:33.246Z,47.67,PLN,47.67,PLN,47.67,PLN
order,2025-07-06T13:14:44.352Z,151.62,PLN,151.62,PLN,151.62,PLN
order,2025-07-06T11:04:07.511Z,48.09,PLN,48.09,PLN,48.09,PLN
order,2025-07-06T10:12:45.830Z,47.96,PLN,47.96,PLN,0.00,PLN
order,2025-07-06T09:47:37.940Z,73.42,PLN,73.42,PLN,73.42,PLN
order,2025-07-05T20:43:58.997Z,307.78,PLN,307.78,PLN,307.78,PLN
order,2025-07-05T19:54:49.425Z,36.67,PLN,36.67,PLN,36.67,PLN
order,2025-07-05T15:07:43.072Z,49.99,PLN,49.99,PLN,49.99,PLN
order,2025-07-05T12:19:46.258Z,50.52,PLN,50.52,PLN,50.52,PLN
order,2025-07-05T12:12:04.362Z,50.78,PLN,50.78,PLN,50.78,PLN
order,2025-07-05T10:13:08.802Z,60.80,PLN,60.80,PLN,60.80,PLN
order,2025-07-04T20:56:16.894Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2025-07-04T20:40:13.357Z,59.62,PLN,59.62,PLN,59.62,PLN
order,2025-07-04T18:28:35.140Z,78.76,PLN,78.76,PLN,78.76,PLN
order,2025-07-04T14:36:45.822Z,62.17,PLN,62.17,PLN,62.17,PLN
order,2025-07-04T09:30:46.022Z,63.07,PLN,63.07,PLN,0.00,PLN
order,2025-07-04T07:34:43.532Z,54.99,PLN,54.99,PLN,54.99,PLN
order,2025-07-04T05:47:19.666Z,48.17,PLN,48.17,PLN,48.17,PLN
order,2025-07-03T21:26:06.903Z,46.38,PLN,46.38,PLN,46.38,PLN
order,2025-07-03T19:07:25.756Z,61.10,PLN,61.10,PLN,61.10,PLN
order,2025-07-03T18:43:44.546Z,48.08,PLN,48.08,PLN,48.08,PLN
order,2025-07-03T18:32:13.072Z,58.23,PLN,58.23,PLN,58.23,PLN
order,2025-07-03T08:58:27.501Z,61.64,PLN,61.64,PLN,61.64,PLN
order,2025-07-03T06:11:42.736Z,52.99,PLN,52.99,PLN,52.99,PLN
order,2025-07-03T03:50:35.699Z,39.98,PLN,39.98,PLN,39.98,PLN
order,2025-07-02T21:00:03.488Z,48.08,PLN,48.08,PLN,48.08,PLN
order,2025-07-02T17:55:19.647Z,62.98,PLN,62.98,PLN,62.98,PLN
order,2025-07-02T17:28:23.132Z,55.60,PLN,55.60,PLN,55.60,PLN
order,2025-07-02T16:34:28.229Z,56.98,PLN,56.98,PLN,56.98,PLN
order,2025-07-02T15:17:54.497Z,58.20,PLN,58.20,PLN,58.20,PLN
order,2025-07-02T14:43:38.018Z,25.39,PLN,25.39,PLN,25.39,PLN
order,2025-07-02T13:18:28.775Z,55.60,PLN,55.60,PLN,55.60,PLN
order,2025-07-02T12:39:17.120Z,95.93,PLN,95.93,PLN,0.00,PLN
order,2025-07-02T12:15:29.571Z,58.08,PLN,58.08,PLN,58.08,PLN
order,2025-07-02T07:24:58.646Z,72.19,PLN,72.19,PLN,72.19,PLN
order,2025-07-02T04:17:32.607Z,48.73,PLN,48.73,PLN,48.73,PLN
order,2025-07-01T21:17:00.721Z,79.46,PLN,79.46,PLN,79.46,PLN
order,2025-07-01T20:04:19.712Z,61.80,PLN,61.80,PLN,61.80,PLN
order,2025-07-01T19:54:55.198Z,51.19,PLN,51.19,PLN,51.19,PLN
order,2025-07-01T19:29:22.305Z,55.60,PLN,55.60,PLN,55.60,PLN
order,2025-07-01T18:55:36.715Z,55.60,PLN,55.60,PLN,55.60,PLN
order,2025-07-01T17:44:11.060Z,47.43,PLN,47.43,PLN,47.43,PLN
order,2025-07-01T16:31:26.615Z,82.61,PLN,82.61,PLN,82.61,PLN
order,2025-07-01T15:07:58.952Z,160.95,PLN,160.95,PLN,160.95,PLN
order,2025-07-01T14:45:56.374Z,49.07,PLN,49.07,PLN,49.07,PLN
order,2025-07-01T13:24:41.660Z,58.70,PLN,58.70,PLN,58.70,PLN
order,2025-07-01T12:42:58.321Z,54.73,PLN,54.73,PLN,54.73,PLN
order,2025-07-01T07:42:54.622Z,53.48,PLN,53.48,PLN,53.48,PLN
order,2025-07-01T07:34:09.148Z,72.35,PLN,72.35,PLN,72.35,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,cb519af2-5aec-11f0-8f38-5b5414162ecb,16805037738,"Delikatny żel pod prysznic 400ml",1,22.49,PLN,,
lineItem,cb519af1-5aec-11f0-8f38-5b5414162ecb,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,cb519af0-5aec-11f0-8f38-5b5414162ecb,17215229512,"Odżywka do włosów RESTRUKTURYZUJĄCA Equilibra Tricologica 200 ml",1,20.39,PLN,,
lineItem,e9587ec3-5aa5-11f0-863a-7746c592aebc,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,e9587ec2-5aa5-11f0-863a-7746c592aebc,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,19.87,PLN,,
lineItem,e9587ec0-5aa5-11f0-863a-7746c592aebc,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",1,12.73,PLN,,
lineItem,e9587ec1-5aa5-11f0-863a-7746c592aebc,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,b008ef30-5aa3-11f0-8281-0dd5a30c8190,15574362870,"Aloesowy dezodorant w kulce z kwasem hialuronowym 50 ml Equilibra",1,18.39,PLN,,
lineItem,b008ef33-5aa3-11f0-8281-0dd5a30c8190,15574823728,"Aloesowy żel do kąpieli 400 ml Equilibra",1,21.99,PLN,,
lineItem,b008ef31-5aa3-11f0-8281-0dd5a30c8190,15574362473,"Arganowy żel do kąpieli 400 ml",1,19.71,PLN,,
lineItem,b008ef34-5aa3-11f0-8281-0dd5a30c8190,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,b008ef32-5aa3-11f0-8281-0dd5a30c8190,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",2,17.08,PLN,,
lineItem,ebbb2e42-5aa2-11f0-850d-a5c54f948827,16101652655,"EQUILIBRA NAWILŻAJĄCY KREM DO TWARZY RÓŻANY 75ML",1,29.69,PLN,,
lineItem,ebbb2e40-5aa2-11f0-850d-a5c54f948827,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",1,12.84,PLN,,
lineItem,ebbb2e41-5aa2-11f0-850d-a5c54f948827,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.08,PLN,,
lineItem,a00429e2-5aa0-11f0-ab7a-23064680b651,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,a00429e0-5aa0-11f0-ab7a-23064680b651,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",2,17.08,PLN,,
lineItem,a00429e1-5aa0-11f0-ab7a-23064680b651,15574362427,"Różane wygładzające serum 30ml Equilibra",1,43.99,PLN,,
lineItem,2378f1b4-5a8e-11f0-850d-a5c54f948827,17431593926,"Equilibra SUN Zestaw krem p/z do twarzy SPF 50 i Olejek ochronny do włosów",1,34.99,PLN,,
lineItem,64662630-5a8d-11f0-ab7a-23064680b651,15693453408,"Aloesowy tonik do twarzy Equilibra Aloe 200 ml",4,12.73,PLN,,
lineItem,8b6fba60-5a89-11f0-afc8-4d934a22d17b,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,8b6fba64-5a89-11f0-afc8-4d934a22d17b,15694160050,"Dezodorant różany w sztyfcie z kwasem hialuronowym 50ml Equilibra",1,24.29,PLN,,
lineItem,38941902-5a87-11f0-ab7a-23064680b651,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,23.39,PLN,,
lineItem,38941901-5a87-11f0-ab7a-23064680b651,15574362921,"Nawilżająca odżywka ALOES I KWAS HIALURONOWY 200 ml",1,19.87,PLN,,
lineItem,38941900-5a87-11f0-ab7a-23064680b651,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,eb929dd0-5a85-11f0-9645-0b982dc825c8,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,73c536a1-5a85-11f0-850d-a5c54f948827,17391180338,"Dermo-żel Equilibra z kwasem hialuronowym 150 ml",1,28.79,PLN,,
lineItem,73c536a0-5a85-11f0-850d-a5c54f948827,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",1,14.00,PLN,,
lineItem,330c98f0-5a81-11f0-8f38-5b5414162ecb,15574823728,"Aloesowy żel do kąpieli 400 ml Equilibra",1,21.99,PLN,,
lineItem,330c98f1-5a81-11f0-8f38-5b5414162ecb,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
lineItem,0dcf8631-5a6b-11f0-8281-0dd5a30c8190,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",6,20.99,PLN,,
lineItem,0dcf8630-5a6b-11f0-8281-0dd5a30c8190,15613556647,"Nawilżający szampon ALOES i kwas hialuronowy 265 ml Equilibra",2,12.84,PLN,,
