Type,OrderDate,PaymentAmount,PaymentCurrency,TotalToPayAmount,TotalToPayCurrency,TotalPaidAmount,TotalPaidCurrency
order,2026-02-19T21:25:17.926Z,138.26,PLN,138.26,PLN,138.26,PLN
order,2026-02-19T20:28:29.989Z,69.92,PLN,69.92,PLN,69.92,PLN
order,2026-02-19T20:26:39.470Z,57.34,PLN,57.34,PLN,57.34,PLN
order,2026-02-19T18:24:49.972Z,87.40,PLN,87.40,PLN,87.40,PLN
order,2026-02-19T10:33:21.077Z,53.97,PLN,53.97,PLN,53.97,PLN
order,2026-02-18T21:44:27.658Z,27.48,PLN,27.48,PLN,27.48,PLN
order,2026-02-18T19:01:28.075Z,109.43,PLN,109.43,PLN,109.43,PLN
order,2026-02-18T11:41:05.307Z,54.43,PLN,54.43,PLN,54.43,PLN
order,2026-02-18T10:02:53.759Z,61.32,PLN,61.32,PLN,37.03,PLN
order,2026-02-18T09:11:40.080Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2026-02-18T07:17:06.420Z,72.87,PLN,72.87,PLN,72.87,PLN
order,2026-02-18T04:44:23.941Z,80.99,PLN,80.99,PLN,80.99,PLN
order,2026-02-18T01:38:10.723Z,84.90,PLN,84.90,PLN,84.90,PLN
order,2026-02-17T18:44:23.597Z,53.01,PLN,53.01,PLN,53.01,PLN
order,2026-02-17T16:05:45.679Z,70.00,PLN,70.00,PLN,70.00,PLN
order,2026-02-17T15:36:57.703Z,65.91,PLN,65.91,PLN,65.91,PLN
order,2026-02-17T14:02:10.876Z,45.00,PLN,45.00,PLN,45.00,PLN
order,2026-02-17T12:53:08.090Z,45.68,PLN,45.68,PLN,45.68,PLN
order,2026-02-17T10:25:25.540Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2026-02-17T06:20:01.300Z,27.98,PLN,27.98,PLN,27.98,PLN
order,2026-02-16T21:13:50.512Z,125.10,PLN,125.10,PLN,125.10,PLN
order,2026-02-16T18:22:41.478Z,120.43,PLN,120.43,PLN,120.43,PLN
order,2026-02-16T14:23:21.344Z,54.29,PLN,54.29,PLN,54.29,PLN
order,2026-02-16T09:18:55.800Z,118.91,PLN,118.91,PLN,118.91,PLN
order,2026-02-16T08:53:09.752Z,324.68,PLN,324.68,PLN,324.68,PLN
order,2026-02-16T08:07:54.599Z,110.95,PLN,110.95,PLN,110.95,PLN
order,2026-02-16T07:41:13.548Z,69.98,PLN,69.98,PLN,69.98,PLN
order,2026-02-16T07:32:47.754Z,57.87,PLN,57.87,PLN,57.87,PLN
order,2026-02-15T18:08:51.518Z,61.11,PLN,61.11,PLN,61.11,PLN
order,2026-02-15T14:26:46.996Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2026-02-15T14:23:43.462Z,57.96,PLN,57.96,PLN,57.96,PLN
order,2026-02-15T13:20:24.375Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2026-02-15T10:43:42.522Z,57.35,PLN,57.35,PLN,57.35,PLN
order,2026-02-14T13:44:36.530Z,108.21,PLN,108.21,PLN,108.21,PLN
order,2026-02-14T10:25:35.275Z,64.86,PLN,64.86,PLN,64.86,PLN
order,2026-02-13T20:34:05.118Z,57.18,PLN,57.18,PLN,57.18,PLN
order,2026-02-13T17:06:16.150Z,70.00,PLN,70.00,PLN,70.00,PLN
order,2026-02-13T16:38:55.978Z,50.45,PLN,50.45,PLN,50.45,PLN
order,2026-02-13T14:59:17.519Z,51.27,PLN,51.27,PLN,51.27,PLN
order,2026-02-13T09:59:43.693Z,56.00,PLN,56.00,PLN,56.00,PLN
order,2026-02-13T06:48:47.637Z,82.75,PLN,82.75,PLN,82.75,PLN
order,2026-02-13T05:53:53.919Z,55.27,PLN,55.27,PLN,55.27,PLN
order,2026-02-13T05:13:07.048Z,84.92,PLN,84.92,PLN,84.92,PLN
order,2026-02-12T23:40:01.713Z,60.20,PLN,60.20,PLN,60.20,PLN
order,2026-02-12T21:55:13.349Z,36.84,PLN,36.84,PLN,36.84,PLN
order,2026-02-12T17:45:24.803Z,45.99,PLN,45.99,PLN,45.99,PLN
order,2026-02-12T14:40:08.230Z,98.00,PLN,98.00,PLN,98.00,PLN
order,2026-02-12T12:56:41.559Z,143.00,PLN,143.00,PLN,143.00,PLN
order,2026-02-12T12:28:05.204Z,91.91,PLN,91.91,PLN,91.91,PLN
order,2026-02-12T10:43:31.102Z,48.41,PLN,48.41,PLN,48.41,PLN
order,2026-02-12T09:18:38.086Z,84.00,PLN,84.00,PLN,84.00,PLN
order,2026-02-11T21:48:37.355Z,24.95,PLN,24.95,PLN,24.95,PLN
order,2026-02-11T21:30:21.661Z,47.08,PLN,47.08,PLN,47.08,PLN
order,2026-02-11T17:42:50.480Z,65.97,PLN,65.97,PLN,65.97,PLN
order,2026-02-11T11:17:43.312Z,57.98,PLN,57.98,PLN,57.98,PLN
order,2026-02-11T10:13:42.542Z,60.27,PLN,60.27,PLN,60.27,PLN
order,2026-02-10T20:57:02.912Z,52.99,PLN,52.99,PLN,52.99,PLN
order,2026-02-10T20:53:45.601Z,53.97,PLN,53.97,PLN,53.97,PLN
order,2026-02-09T20:34:32.948Z,57.73,PLN,57.73,PLN,57.73,PLN
order,2026-02-09T18:00:42.400Z,47.08,PLN,47.08,PLN,47.08,PLN

Type,LineItemId,OfferId,Name,Quantity,Price,Currency,Deposit,DepositCurrency
lineItem,2c688e33-0dd9-11f1-8d44-ef712496b60c,17290688385,"Equilibra RESTRUKTURYZUJĄCA MASKA do włosów 250ml",1,38.69,PLN,,
lineItem,2c688e37-0dd9-11f1-8d44-ef712496b60c,15574823809,"Naprawczy szampon RESTRUKTURYZUJĄCY 300 ml Equilibra",1,20.99,PLN,,
lineItem,2c688e34-0dd9-11f1-8d44-ef712496b60c,15574362388,"Odświeżający żel do higieny intymnej 200ml Equilibra",1,15.00,PLN,,
lineItem,2c688e35-0dd9-11f1-8d44-ef712496b60c,15574925235,"Płynne kryształki do włosów z naturalnymi olejkami 50 ml",1,37.99,PLN,,
lineItem,2c688e36-0dd9-11f1-8d44-ef712496b60c,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,25.59,PLN,,
lineItem,5d115922-0dd1-11f1-8238-9b6be72b3fca,15574362344,"Aloesowy delikatny żel do higieny intymnej 200 ml Equilibra",2,14.45,PLN,,
lineItem,5d115920-0dd1-11f1-8238-9b6be72b3fca,15574362389,"Aloesowy liftingujący krem pod oczy 15ml Equilibra",1,23.99,PLN,,
lineItem,5d115921-0dd1-11f1-8238-9b6be72b3fca,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.03,PLN,,
lineItem,3f7e16f3-0dd1-11f1-a0cf-c5b69a0eab88,15574362427,"Różane wygładzające serum 30ml Equilibra",1,31.00,PLN,,
lineItem,3f7e16f2-0dd1-11f1-a0cf-c5b69a0eab88,15574362427,"Różane wygładzające serum 30ml Equilibra",1,26.34,PLN,,
lineItem,38e01ed2-0dc0-11f1-a589-e358835f1941,15574362775,"Oczyszczający szampon ZIELONA HERBATA i kwas hialuronowy 265 ml Equilibra",1,17.03,PLN,,
lineItem,38e01ed3-0dc0-11f1-a589-e358835f1941,15574823922,"Odżywczy szampon ARGAN i Kwas Hialuronowy 265 ml Equilibra",1,20.79,PLN,,
lineItem,38e01ed0-0dc0-11f1-a589-e358835f1941,17215229512,"Odżywka do włosów RESTRUKTURYZUJĄCA Equilibra Tricologica 200 ml",1,23.99,PLN,,
lineItem,38e01ed1-0dc0-11f1-a589-e358835f1941,15574823784,"Wzmacniający szampon przeciw wypadaniu włosów 300 ml Equilibra",1,25.59,PLN,,
lineItem,450b39c0-0d7e-11f1-b541-73a243eb1ee4,17869502704,"Equilibra Aloe Moisturizing Shampoo nawilżający szampon aloesowy 265ml",3,17.99,PLN,,
lineItem,e2fb52d0-0d12-11f1-ab88-1f99195857d3,15574362818,"Równoważący szampon RÓŻA i kwas hialuronowy 265 ml Equilibra",1,16.99,PLN,,
lineItem,2fe625a2-0cfc-11f1-a675-07bb87e9bdc8,15693659903,"Aloesowy krem przeciwzmarszczkowy efekt wypełnienia Aloe 3+ 50ml Equilibra",1,37.03,PLN,,
lineItem,2fe625a0-0cfc-11f1-a675-07bb87e9bdc8,17914189539,"Krem przeciwzmarszczkowy wypełniający z kolagenem roślinnym EQUILIBRA 50ml",1,43.25,PLN,,
lineItem,2fe625a1-0cfc-11f1-a675-07bb87e9bdc8,17914251175,"Wygładzający przeciwzmarszczkowy krem pod oczy z kolagenem roślinnym 15ml",1,29.15,PLN,,
lineItem,a5d427a1-0cbe-11f1-a73d-e50387851003,15574362344,"Aloesowy delikatny żel do higieny intymnej 200 ml Equilibra",1,14.45,PLN,,
lineItem,a5d427a2-0cbe-11f1-a73d-e50387851003,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,a5d427a0-0cbe-11f1-a73d-e50387851003,16084077562,"Baby łagodny krem ochronny do twarzy i ciała 100 ml Equilibra od 1 dnia",1,11.98,PLN,,
lineItem,c47b2c20-0cb0-11f1-a02b-c79f85f0809d,15693659903,"Aloesowy krem przeciwzmarszczkowy efekt wypełnienia Aloe 3+ 50ml Equilibra",1,37.03,PLN,,
lineItem,c47b2c21-0cb0-11f1-a02b-c79f85f0809d,15694185792,"Dezodorant różany w sprayu z kwasem hialuronowym 75ml Equilibra",1,24.29,PLN,,
lineItem,8a3bb090-0ca9-11f1-9c12-5d4bc0713377,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",4,14.00,PLN,,
lineItem,c6f83180-0c99-11f1-b5df-97d3dbd6af3b,17914615437,"Equilibra Serum do twarzy z kwasem hialuronowym 60 ml",1,31.00,PLN,,
lineItem,c6f83181-0c99-11f1-b5df-97d3dbd6af3b,17914211881,"Serum liftingujące przeciw zmarszczkom z kolagenem roślinnym 30ml EQUILIBRA",1,41.87,PLN,,
lineItem,78521e21-0c84-11f1-ab88-1f99195857d3,15574924982,"Aloesowy dezodorant w sztyfcie z kwasem hialuronowym Equilibra 50 ml",2,14.00,PLN,,
lineItem,78521e22-0c84-11f1-ab88-1f99195857d3,15694160050,"Dezodorant RÓŻANY w sztyfcie z kwasem hialuronowym 50ml Equilibra",1,24.29,PLN,,
lineItem,78521e20-0c84-11f1-ab88-1f99195857d3,17388925570,"Szampon przeciwłupieżowy 300ml Equilibra",1,28.70,PLN,,
lineItem,292abf10-0c6a-11f1-a61d-45100edb7b18,15574925358,"Mydło oczyszczające 100% roślinne z aktywny węglem 100 g",7,9.00,PLN,,
